외국어연수평가원,중국어듣는사람,0,"['나 저번 여름에 들음!', '빡쎄지만 수료 못한 사람은 없다고 들음!', '같이 들었던 친구한테 ㅋㅋ']"
중외통 기초중국어,중외통 기초중국어1 어떤교수님이 가장 과제랑 쪽지시험 적나요?,0,"['에타 강의평가 비교해보세욥', '비교할수없음 다 비슷할텐데']"
한국은 외국인이 현지 말 할 줄 몰라도 생활하기 편한 나라인듯,"여행이든 비지니스든 유학이든 한국 특히 서울에선 웬만한 사람들 다 영어 할 줄 알고, 영어로 의사소통 가능하고 요즘은 중국어 안내는 기본적으로 제공되고 있고. 영어권 사람들 그리고 중국인들은 한국에서 한국어 몰라도 전혀 생활과 활동에 지장이 없을 정도고 다른 외국인들도 한국어가 아닌 영어만 어느정도 가능해도 한국에서 생활하는 데 전혀 문제 없을 것 같아.

세계 어느 나라를 가도 이런 나라는 거의 없다고 봄. 영어가 공용어 내지는 주요 언어로 쓰지 않는 나라 중에 현지 언어 모르면서 영어만으로 소통이 되는 나라가 얼마나 있을까??",1,"['네덜란드랑 북유럽 영어 편함!', '근디 이건 서울같은 큰 도시 특징이라 그런듯 서울급으로 큰 도시는 대부분 그러니까.. 물론 영어랑 한국어랑 연관성이 아예 없는데 평균 수준이 이렇게 높은 건 신기한 일이긴 함']"
일본어 베이스있으면 중국어하기 편한가요?,JLPT N1 있는데 고득점은 아니고ㅠㅠㅠㅠ HSK 4급이나 5급 따려면 얼마나 걸릴까요?,0,"['일본어랑은 아예다른데, 한자 많이아시면 조금 도움될 수있을거같아요', '한자 하나하나 보면 읽을 줄 아는데, 그게 중국식으로 어떤 의미인지를 모르는 느낌이어서.. 그래도 아예 모르는 것보단 도움이 되겠군요ㅠㅠ', '한중일 겹치는한자단어날먹+발음유추능력향상 등등 도움많이돼영~.~', '*한자어 발음유추', '약간 愛가 아이로 똑같은거나 要 요우가 야오?로 발음되는 이런것들이군요 .. 감사합니다 ㅠㅠ', '넹 또 생각보다 문법도 단순하고 한자도 앵간하면 1자 1음이라 감만한번 잡으면 진짜 빨리늘어요 쓰니님처럼 한자베이스 있는 상태에서하면', '아하..! 혹시 5급이면 어느정도 수준일까요? 유럽어 기준으로 b1과 b2사이정도 될까요?', '네네 편해요 저는 어쩌다가 중국어 시작했는데 좀 덜? 어려운 거 같아요 한국어로 이해 어려운 것들은 일본어식으로 생각하면 좀 편한 것들도 있어서 도움이 됐던거 같아요 遇到=出会い 이런식으로 필기도 하면서 공부했구요... 전 중국어는 회화반 다녀서 hsk는 정확히 모르겠는데 5개월(기초 3개월 과정+중급회화2개월) 쌤이 단어만 한달 빠짝 외우면 4급은 딸거같다고 하셔서 글쓴님은 기초 한달 빠짝다니시고 1~2달 공부하시면 가능하실수도요! 근데 단점은 간체랑 일본한자랑 한번씩 헷갈려요...ㅜㅜ', '자세히 알려주셔서 너무너무 감사해요ㅠㅠ 4급이면 jlpt n2정도 난이도로 생각하면 될까요..!?', '3급정도? 생각하시면 될거같아요 똑같이 6급 체제라!! Hsk는 6급이 제일 높아요! 제가 회화반이라 hsk문법은 선생님이 그냥 가끔 우리 문법은 6급에 나오는거까지 다배우긴했다고 급수별로 얼마나 나오는지 말씁해주셨거든요 4급도 문법만 따지만 별로 안어려워요~ 단어만 좀 많이 외워야해서 그렇지... 글쓴님 화이팅입니다~', '감사합니다... ㅜ 막막했는데 자신감이 좀 생기네요ㅎㅎ 열심히해볼게요!!! 감사해요ㅠㅠㅠㅠ']"
우리학교도 이제 과감히 외국어라는 틀을 벗을때가 되지 않았을까?,"오늘 뉴스 보니까 기아 자동차(변경명 : 기아), LS 산전(LS일렉트릭), 대림산업(DL) 등의 유수의 기업들이 기존이름을 버리고 새로운 이름을 달았더라

4차 산업혁명으로 고전적 산업의 틀이 깨지고 융복합과 혁신이 우선시되는 사회가 되지만, 기업의 이름이 혁신과 변화를 제한하고 있기 때문이래

자본주의 사회에서 가장 선제적이고 기민하게 움직이는 집단이 바로 기업이잖아 이렇게 기업들이 하나 둘씩 기존의 틀을 벗어던지고 있다는 건 이제 더 이상 변화없이는 살아남기 힘들다는 방증이 아닐까 싶어


'한국외국어대학교'

정말 멋지고 자랑스러운 이름이지만 우리 학교는 대한민국의 발전 초기과정에서 다른 국가와의 외교 및 통상 등 교류를 원활하게 하고자 외국어가 능통한 인력들을 양성하기 위한 특수목적 학교로 시작되었어

하지만 지금과 같이 영어, 중국어 등 우리나라와 교류가 잦은 국가들의 언어는 상향 평준화 되어있고, 다양한 국가들과의 교류가 활성화되어 유학생이나 해외인력의 유입이 많으며, A.I등 과학기술의 지속적인 발전으로 사람이 직접하는 통번역의 전망이 희미해져가는 시점에서
이제는 교수님들, 교직원분들 뿐만아니라 학생들도 외국어 영역이 더이상 과거와 같은 특수한 영역이 아니라는 걸 느끼고 있을것 같아

포스트 코로나 시대에서는 4차 산업 혁명이 점점 가속화될텐데 '외국어'라는 틀이 어쩌면 우리 학교의 혁신과 도약을 제한하고 있는게 아닐까?

그렇기에 우리학교도 혁신을 위해 과거의 이름을 벗어던지는 저 기업들처럼 이름바꾸기를 통해 변화를 지향해야한다고 생각해

학령인구가 지속적으로 감소하고 있는 시점에서 조금이라도 더 기민한 움직임을 가져가는 학교가 명문대 반열에서 살아남지 않겠어?",6,"['‘한국외국’', '한국대학교 이름바꾸는 것 자체만으로 입결 떡상할듯', '그러니까 말여...', '한국지역학대학교 한국국제학대학교 어떰', 'HUFS지 뭐', '한국종합대학교', '원래 재단에사 하려고 했던 이름이당', '해봤자 훕스로 바뀔 듯 ㅋㅋ.', '한국세계대학교', '훕스대학교', '학교 지잡대 만들지 마라']"
중국주식에 대한 투자는,차이나머니의 세계지배에 얼마나 영향을 미치고있을까,0,[]
국제학부 중국어3,수업 들어본사람 난이도가 어느 정도야??,0,"['교바교', '자오징징 교수님 수업 들어본 적 있어? 아예 노베는 아닌데 그래도 초급이거든. 2학점 채우고 싶어서 고민중 ㅠㅠ']"
중복학과 해결+융합인재대학 전략화,"밑에 융합인재학부 관련 글 쓴 쓰니야..
좀 더 자세하고 구체적으로 방안을 생각해봤어
현재 통대+국지대 중복학과 티오를 융합인재대학으로 옮기면 융합인재대학이 565명이라는 정원이 나와
중복학과 티오를 옮기면서 기존 융합인재학부 통번역 모듈에 영어, 중국어, 아랍어, 이탈리아어만 있었다면 영중일독불서노+마인, 이태리, 태국, 포르투갈, 인도 이렇게 선택할 수 있는 언어폭을 늘리는 거야!
.
융합인재학부 565
융합인재전공(학부 내 자유전공느낌) 165
(기존 3개 모듈 선택)
테크노아트전공 50(테크노아트+외국어 1)
글로벌비즈니스마케팅전공 50(국제경영+외국어 1)
AI소프트웨어전공 100(소프트웨어+외국어 1)
미디어콘텐츠전공 50(콘텐츠+외국어 1)
세계문화예술경영전공 50(세문경+외국어 1)
동북아외교통상전공 50(동북아+중국어, 일본어 택1)
공공거버넌스리더십전공 50(국가리더+외국어 1)
이런식으로 모듈들이랑 기존 융합전공들을 세부전공식으로 승격시켜서 문.이과 계열 구분 없이 학문 간 교류가 자유로운 단과대학을 만드는 거야!
다른 학교의 예시로는 이화여대 스크랜튼대학,
연세대 언더우드국제대학 등이 있을 것 같아!
물론 완전 느낌이 같지는 않지만 언더우드, 스크랜튼 둘 다 문이과 계열 구분 없이 모집하는 학과들 존재하고, 단과대학이 대학 속의 대학(?)처럼 있는 느낌이잖아..
.
신입생을 모집할 때에는 기존처럼 다군에서 선발하는데, 수학 가형+과탐에 가산점 10% 적용, AI융합전공은 이공계열에서만 선발 이런 식의 방법을 사용하면 될 것 같아!",5,"['혹시 메일 보낼 생각 있어?', '사람들이 이거 보고 긍정적인 반응 보여주면 한 번 보내보려고!', '일단 나는 찬성', '진짜 좋다 ㅋㅋ 머리 좋은가봐']"
중국문학중에 굴원의 어부사같은거 관심있으면,어떤책으로 공부해?? 국문한시나 중문한시 다 좋아해! 근데 고딩때 배운게 다고 지금은 전혀다른 전공이라 다시 공부해보고싶은데 뭐로 공부해야할지 모르게써9ㅅ9,0,"['중문 교수님께 메일 보내보는 건 어때? 진짜 좋아하실 듯', '임원빈교수님 추천', '졸업생 대학원끌려갈까봐 겁나섴ㅋㅋㅋㅋㅋㅋ따로 추천해줄 입문서가 딱히 없는거니9ㅅ9', '이번학기에 임원빈 교수님의 고전문학사 하세요!!!!!', 'ㅋㅋㅋㅋㅋㅋ중언문인데 난 거의 다 교수님 강의자료로 공부했어서 알려줄 책이 없네..ㅠㅠ 중언문 고전문학 수업에서 강계 참고자료 보는건 어때? 거기 리스트에서 골라보면 될듯', '다들 고마오😃']"
진정한 중국은 홍콩 대만 아니냐?,대륙 중국은 문화대혁명때 지들 세이브 파일 자삭 했잖아? 왜 이제 와서 유구한 역사 가진 나라인척하냐ㅋㅋㅋㅋㅋㅋ,3,['공자 자손들도 대만에 있음']
"중국, 대리모 7700만원~1억 2백만원","https://n.news.naver.com/article/015/0004488297?cds=news_edit

이쯤되면 그냥 클론공장 만드는게 좋을듯",0,"['자식한테 넌 내가 낳은 아들이다 라고 거짓말만 안하면 나쁠건 없다고 생각함', '나쁜건없다고봄', '단 법적으로 대리모신청한 사람들은 특별감시 해야됨', '안하면 진짜 애기공장 생길수도 있기 때문에']"
hen guì 뜻이 뭔가요 중국언데,hen에서 e는 3성이에요..,0,"['너무 비싸!', '비싸ㅠ', '很贵', '윗분들의 대답에 덧붙이자면 hen이 매우, gui가 비싸다 라는 뜻이에요!', '참고로 헌을 세게 읽으면 넘비싸! 인데 걍 가볍게 헌꿰이라고 하면 비싸임', '대박 역시 외머... 알림이 안왔어서 지금 확인했는데 모두 감사합니다 🥰💛💛']"
어쩌다가,"일본이 좋아? 중국이 좋아?가 정치성향을 물어보는 질문이 되었을까?
난 아무튼 둘 다 싫음",0,"['사람들 행동 전부가 정치적 동기와 계산에 인해서 행해진다고 생각하는 정치병자들 으휴', '나도 둘 다 싫음', '나는 일본은 좋은데 중국은 너무싫어 ㅠㅠ', '난 일본 개싫음, 중국은 개극혐']"
브릭스 이중,"혹시 언어트랙 하시는 분 있나요 ..????
러시아어랑 중국어 중에 더 추천하시는거 있으신가여 ..ㅠㅠ",0,"['중국어요', '혹시 이유 알려주실수ㅜ있으신가요 ....?!', '저는 중국어랑 러시아어 둘다 조금씩 할줄 아는데, 글쓴분이 두 언어 모두에 베이스가 없으시다면 중국어가 진입장벽도 더 낮고 좀 더 써먹을 곳도 많아요. 그리고 브릭스로 들으시는 거면, 채워야할 언어 학점이 그렇게 많지도 않잖아요ㅠㅠ? 러시아어로 하시면 더 힘들 것 같아서요.. 전 브릿ㄱ스 상경트랙이에요!!', '혹시 이번에 브릭스 이중 하신분이신가요오...?!ㅠㅠ 답변해주셔서 감사합니다 ㅠㅜㅜㅜㅜㅜㅜㅜ ㅎㅎ', '아뇨 원래 브릭스 이중이엇어요', '헐 선배님 이셨구나 ..ㅠㅠ 감사합니다 😭😭😭 브릭스 이거 넘 어려운거 같아요 ㅠㅠ', '본전공이 비상경이면 상경 트랙을 하고 본전공이 상경계열이면 언어 트랙을 하는걸로 이해했는데 내가 이해한게 맞아..?']"
[팟캐스트] 차이팟에서 중국인 게스트를 모집합니다!,"안녕하세요. 한국외대 인액터스 차이팟 팀에서 팟캐스트에 출연하실 중국인을 찾습니다🙌🏻

차이팟은 중국 이주민에 대한 편견을 해소하기 위한 팟캐스트 프로젝트입니다.
대중들이 중국에 가지는 편견을 해소하는데 기여하고 싶으신 분, 중국의 문화를 알려주실 분, 본인의 경험을 나눠주실 분, 팟캐스트 출연에 관심이 있으신 분 🙋🏻‍♂️🙋🏻‍♀️

📍소요 시간: 총 1-2시간
📍페이: 시간 당 10,000원

간단한 사전 인터뷰가 이루어지며, 이후 하나의 팟캐스트 에피소드에 게스트로 참여하여 차이팟 내 2명의 MC와 함께 녹음을 하게 됩니다.
장소는 서울 내 녹음실에서 진행될 예정입니다.

* 차이팟 팟캐스트는 팟빵과 네이버 오디오클립을 통해 매주 월, 수, 금 오전 8시 업로드 될 예정입니다.

관심 있으신 분들은 @chai.pod 인스타그램 / 혹은 010-5730-3837 로 연락 부탁드립니다.",0,[]
우리 학교 중국인들도 김치가 중국꺼라 생각해?,"https://youtu.be/ydH5X4lmWu4
먹방 유튜버 햄지가 ""김치는 한국음식이다""라고 발언해서 화난 중국인들 때문에 중국 사이트에 있던 햄지 영상 싹다 내려가고 중국 소속사랑 계약해지 했다더라. . 대부분의 중국인이 이렇게 생각하는건 아니지?? 무섭네;;",2,"['진짜 쭝꿔들 개극혐', '그 대자보사건만 생각해 보더라도ㅋㅋ']"
외대 특성상 1단과대 1건물은 못해도,"건물 몇개만 더 지어서
상경계 건물 하나 더 주고

중국어대-일본어대-아언문대 1건물
영어대-서양어대 1건물

이렇게 쓰면 대충 밸런스 맞을듯",1,"['중일대 건물 합치는건 ㅇㄸ', '아 중대 일대 아언문대(동양어대 원년멤버들) 다같이 한건물 쓰자는 이야기였음', '앗 내가 빌런이었네.. 좋은하루보냉']"
중국어 플렉스,이중전공이라 400점 이상이 커트라인인데 어려울까요? 5급까지 준비해본 상태인데 난이도가 어느 정도인지 감이 안오네요,0,['쫌만하면가능 막엄청노력!!!!안해도 된다는말']
hsk5급 학원!!!,"해커스랑 파고다랑 시사중국어 중 고민인데
사실 다 비슷비슷할 것같긴 한데 .. ㅎㅎ
혹시 다녀보신 분들 어떠셨는지 알려주시면 넘 감사할거같아용 !!",0,"['난 해커스 인강들었는데 괜찮았음', '갠적으로 해커스 5급쌤 너무 핫하고 몸조음>~<', 'ㅇㅇ', '옿홍 감사해요 !!', '종로면 시사중국어!!! 5급 pt수업 진짜 너무좋아요ㅜㅜ 꼭들어보세요!!!', '감사해요 >__< 혹시 쌤 이름도 알 수 있을까요??']"
그나마 중국 관련 과라서 있었던 중국에 대한 쥐꼬리만큼의 정도 지금 떨어짐,요즘 진짜 할말이 없네🙄,0,"['그럴만 하지.. 지금 중국이 하는 짓거리들 보면 한숨만 나와 ㅎ', '오 나도 요즘 그래.. 솔직히 다 지들이 자초한거 아님?', '맞지.. 남의 나라 문화를 그냥 우기면서 훔치려하는데 진짜 꼴불견이야', '왜?? 무슨일 있어 중국?', ""요즘 김치, 쌈, 한복같은 한국문화가 계속 중국 자기네꺼다 이러고, 중국 유명 유투버들도 가세하고 있고, 우리나라 먹방 유투버 '햄찌'가 쌈과 김치는 우리나라 문화라고 하니까 난리침. 그래서 햄찌 실제로 중국 소속사한테서 계약해지 통보받고... 난리났어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"", '더 웃긴건 그냥 어떻게든 우겨볼라는 심보임', '아직도 동북공정하나보넼ㅋㅋ', 'ㅇㅇ 끊임없이 하다가 요즘 진짜 개심해짐.. 손흥민 자기네 국민이다.. 막 이러는 사람도 있고 바이두에서도 김치 한복 이런거에 대한 기사 올라온대', '나도... 남들한테 학과 말할 때 약간 멈칫하게되고 ㅠㅠ', '그니까 중국어 좋아서 온건데 ㅅㅂ 중국;;;']"
중국어잘알있니,ㅈㄱㄴ,0,"['미', '알다 renshi있자나', '웅', '읽을때 왜 애로 읽혀? 언이아니라', '약간 애와 언의 중간 아님?', '애로들려..어려워..', '흑어렵따', 'e가 으어? 발음 아님?', '애로들려..음성파일', '애 아님', '런쓔임 애가 아니라 언이야', 'ㅇ넵', '김태성 교수님과 함께 발음연습 해보세요']"
